ue_id,x,y,time_step
0,164.78,69.01,0.00
0,165.61,70.11,1.00
0,167.97,73.21,2.00
0,171.75,78.18,3.00
0,176.86,84.91,4.00
0,182.81,92.74,5.00
0,190.16,102.42,6.00
0,198.53,113.42,7.00
0,207.07,124.67,8.00
0,215.47,135.71,9.00
0,224.34,147.39,10.00
0,233.01,158.80,11.00
0,241.50,169.96,12.00
0,249.89,180.96,13.00
0,258.20,191.53,14.00
0,266.34,202.32,15.00
0,274.84,213.66,16.00
0,283.40,224.43,17.00
0,291.92,234.86,18.00
0,300.88,245.85,19.00
0,309.56,256.48,20.00
0,317.41,268.03,21.00
0,324.44,279.78,22.00
0,330.93,292.89,23.00
0,336.96,305.36,24.00
0,342.90,317.62,25.00
0,349.37,330.78,26.00
0,355.54,343.39,27.00
0,361.64,355.82,28.00
0,367.93,368.62,29.00
0,373.89,380.75,30.00
0,379.98,393.13,31.00
0,386.09,405.56,32.00
0,392.26,418.13,33.00
0,398.24,430.28,34.00
0,404.51,443.04,35.00
0,410.96,456.17,36.00
0,417.06,468.57,37.00
0,422.99,480.63,38.00
0,429.41,493.69,39.00
0,437.27,505.57,40.00
0,445.17,517.94,41.00
0,451.61,530.74,42.00
0,458.10,543.62,43.00
0,464.63,556.59,44.00
0,470.84,568.93,45.00
0,477.06,581.29,46.00
0,483.29,593.67,47.00
0,489.64,606.28,48.00
0,495.93,618.76,49.00
0,502.02,630.86,50.00
0,508.07,642.89,51.00
0,514.57,655.79,52.00
0,520.03,666.65,53.00
0,523.82,674.03,54.00
0,525.54,677.39,55.00
0,525.82,677.94,56.00
0,525.88,678.05,57.00
0,525.89,678.08,58.00
0,525.91,678.11,59.00
0,525.91,678.11,60.00
0,525.91,678.11,61.00
0,525.91,678.11,62.00
0,525.91,678.11,63.00
0,525.91,678.11,64.00
0,525.91,678.11,65.00
0,525.91,678.11,66.00
0,525.91,678.11,67.00
0,525.91,678.11,68.00
0,525.91,678.11,69.00
0,525.91,678.11,70.00
0,525.91,678.11,71.00
0,525.91,678.11,72.00
0,525.91,678.11,73.00
0,525.91,678.11,74.00
0,525.91,678.11,75.00
0,525.91,678.11,76.00
0,525.91,678.11,77.00
0,525.91,678.11,78.00
0,525.91,678.11,79.00
0,525.91,678.11,80.00
0,525.91,678.11,81.00
0,525.91,678.11,82.00
0,525.91,678.11,83.00
0,525.91,678.11,84.00
0,525.91,678.11,85.00
0,525.91,678.11,86.00
0,525.91,678.11,87.00
0,525.91,678.11,88.00
0,525.91,678.11,89.00
0,526.85,679.88,90.00
0,528.91,683.64,91.00
0,531.98,689.81,92.00
0,535.03,696.79,93.00
0,534.43,697.73,94.00
0,536.74,692.07,95.00
0,540.44,692.46,96.00
0,549.67,696.86,97.00
0,561.27,702.41,98.00
0,574.49,706.95,99.00
0,587.85,711.18,100.00
0,601.35,715.40,101.00
0,613.22,722.44,102.00
0,626.36,726.54,103.00
0,639.58,730.65,104.00
0,652.85,734.78,105.00
0,666.31,738.98,106.00
0,679.74,743.28,107.00
0,693.14,746.16,108.00
0,706.70,751.67,109.00
0,719.68,756.94,110.00
0,733.30,762.47,111.00
0,744.50,767.02,112.00
0,751.92,770.03,113.00
0,755.18,771.30,114.00
0,755.37,771.38,115.00
0,755.48,771.42,116.00
0,755.49,771.42,117.00
0,755.49,771.42,118.00
0,755.49,771.42,119.00
0,755.49,771.42,120.00
0,755.49,771.42,121.00
0,755.49,771.42,122.00
0,755.49,771.42,123.00
0,755.49,771.42,124.00
0,755.49,771.42,125.00
0,755.49,771.42,126.00
0,756.66,768.44,127.00
0,756.66,768.44,128.00
0,756.66,768.44,129.00
0,756.66,768.44,130.00
0,756.66,768.44,131.00
0,756.66,768.44,132.00
0,757.82,765.46,133.00
0,757.82,765.46,134.00
0,760.25,766.38,135.00
0,763.23,770.86,136.00
0,768.57,776.18,137.00
0,777.28,778.47,138.00
0,788.61,780.54,139.00
0,801.55,782.98,140.00
0,819.56,785.35,141.00
0,832.17,779.79,142.00
0,845.06,774.11,143.00
0,854.80,769.81,144.00
0,861.26,766.96,145.00
0,863.60,765.93,146.00
0,863.81,765.84,147.00
0,863.83,765.83,148.00
0,863.84,765.82,149.00
0,863.84,765.82,150.00
0,863.84,765.82,151.00
0,863.84,765.82,152.00
0,863.84,765.82,153.00
0,863.84,765.82,154.00
0,863.84,765.82,155.00
0,863.84,765.82,156.00
0,863.84,765.82,157.00
0,863.84,765.82,158.00
0,863.84,765.82,159.00
0,863.84,765.82,160.00
0,863.84,765.82,161.00
0,863.84,765.82,162.00
0,863.84,765.82,163.00
0,863.84,765.82,164.00
0,863.84,765.82,165.00
0,863.84,765.82,166.00
0,863.84,765.82,167.00
0,863.84,765.82,168.00
0,863.84,765.82,169.00
0,863.84,765.82,170.00
0,863.84,765.82,171.00
0,863.84,765.82,172.00
0,863.84,765.82,173.00
0,863.84,765.82,174.00
0,863.84,765.82,175.00
0,863.84,765.82,176.00
0,863.84,765.82,177.00
0,863.84,765.82,178.00
0,863.84,765.82,179.00
0,865.91,764.91,180.00
0,869.80,763.17,181.00
0,875.57,760.59,182.00
0,883.34,757.12,183.00
0,893.48,752.60,184.00
0,905.94,747.15,185.00
0,918.79,741.56,186.00
0,931.14,736.18,187.00
0,943.80,730.79,188.00
0,956.70,725.38,189.00
0,969.57,719.99,190.00
0,980.08,715.59,191.00
0,987.90,712.31,192.00
0,991.58,710.77,193.00
0,991.80,710.68,194.00
0,991.80,710.68,195.00
0,991.80,710.68,196.00
0,991.80,710.68,197.00
0,991.80,710.68,198.00
0,991.80,710.68,199.00
0,991.80,710.68,200.00
0,991.80,710.68,201.00
0,991.80,710.68,202.00
0,991.80,710.68,203.00
0,991.80,710.68,204.00
0,991.80,710.68,205.00
0,991.80,710.68,206.00
0,991.80,710.68,207.00
0,991.80,710.68,208.00
0,991.80,710.68,209.00
0,991.80,710.68,210.00
0,991.80,710.68,211.00
0,991.80,710.68,212.00
0,991.80,710.68,213.00
0,991.80,710.68,214.00
0,991.80,710.68,215.00
0,991.80,710.68,216.00
0,991.80,710.68,217.00
0,991.80,710.68,218.00
0,991.80,710.68,219.00
0,991.80,710.68,220.00
0,991.80,710.68,221.00
0,991.80,710.68,222.00
0,991.80,710.68,223.00
0,991.80,710.68,224.00
0,991.80,710.68,225.00
0,991.80,710.68,226.00
0,991.80,710.68,227.00
0,991.80,710.68,228.00
0,991.80,710.68,229.00
0,991.80,710.68,230.00
0,991.80,710.68,231.00
0,991.80,710.68,232.00
0,991.80,710.68,233.00
0,991.80,710.68,234.00
0,991.80,710.68,235.00
0,991.80,710.68,236.00
0,991.80,710.68,237.00
0,991.80,710.68,238.00
0,991.80,710.68,239.00
0,994.02,709.91,240.00
0,997.67,708.86,241.00
0,1003.68,707.12,242.00
0,1011.67,706.55,243.00
0,1021.52,708.93,244.00
0,1030.41,717.27,245.00
0,1039.66,727.92,246.00
0,1045.51,741.17,247.00
0,1050.97,753.50,248.00
0,1059.45,764.77,249.00
0,1065.22,777.81,250.00
0,1070.69,790.19,251.00
0,1076.60,803.53,252.00
0,1082.30,816.43,253.00
0,1087.82,828.90,254.00
0,1093.40,841.51,255.00
0,1098.93,854.01,256.00
0,1104.50,866.60,257.00
0,1110.10,879.28,258.00
0,1116.05,892.74,259.00
0,1121.84,905.84,260.00
0,1127.17,917.87,261.00
0,1130.83,926.15,262.00
0,1132.67,930.31,263.00
0,1132.89,930.80,264.00
0,1132.90,930.82,265.00
0,1132.90,930.83,266.00
0,1132.90,930.83,267.00
0,1132.90,930.83,268.00
0,1132.90,930.83,269.00
0,1133.64,932.65,270.00
0,1134.94,936.25,271.00
0,1136.76,941.73,272.00
0,1140.04,949.38,273.00
0,1147.98,955.23,274.00
0,1158.92,961.34,275.00
0,1171.78,967.48,276.00
0,1186.77,974.48,277.00
0,1202.98,982.05,278.00
0,1220.81,990.37,279.00
0,1240.54,999.59,280.00
0,1262.25,1009.76,281.00
0,1285.88,1020.81,282.00
0,1311.10,1032.61,283.00
0,1336.72,1044.60,284.00
0,1363.56,1056.28,285.00
0,1389.52,1060.87,286.00
0,1411.60,1060.79,287.00
0,1429.82,1059.02,288.00
0,1444.34,1057.51,289.00
0,1458.09,1056.97,290.00
0,1471.05,1057.33,291.00
0,1484.93,1058.67,292.00
0,1498.49,1061.01,293.00
0,1513.12,1061.50,294.00
0,1526.33,1065.96,295.00
0,1539.67,1071.56,296.00
0,1551.62,1077.58,297.00
0,1564.02,1085.59,298.00
0,1576.35,1097.20,299.00
0,1589.18,1110.55,300.00
0,1602.26,1126.74,301.00
0,1615.79,1145.34,302.00
0,1627.51,1167.57,303.00
0,1636.32,1192.76,304.00
0,1642.37,1220.55,305.00
0,1646.12,1248.56,306.00
0,1649.98,1277.50,307.00
0,1653.77,1305.90,308.00
0,1657.63,1334.74,309.00
0,1660.88,1359.12,310.00
0,1663.54,1379.02,311.00
0,1665.62,1394.44,312.00
0,1668.10,1405.15,313.00
0,1670.72,1411.11,314.00
0,1674.03,1419.35,315.00
0,1678.20,1429.28,316.00
0,1680.58,1442.44,317.00
0,1682.38,1458.25,318.00
0,1683.67,1476.10,319.00
0,1684.79,1495.96,320.00
0,1689.00,1514.98,321.00
0,1689.79,1529.88,322.00
0,1690.33,1540.30,323.00
0,1690.70,1547.27,324.00
0,1690.86,1550.36,325.00
0,1690.88,1550.59,326.00
0,1690.88,1550.62,327.00
0,1690.88,1550.63,328.00
0,1690.88,1550.63,329.00
0,1690.88,1550.63,330.00
0,1690.88,1550.63,331.00
0,1690.88,1550.63,332.00
0,1690.88,1550.63,333.00
0,1690.88,1550.63,334.00
0,1690.88,1550.63,335.00
0,1690.88,1550.63,336.00
0,1690.88,1550.63,337.00
0,1690.88,1550.63,338.00
0,1690.88,1550.63,339.00
0,1690.88,1550.63,340.00
0,1690.88,1550.63,341.00
0,1690.88,1550.63,342.00
0,1690.88,1550.63,343.00
0,1690.88,1550.63,344.00
0,1690.88,1550.63,345.00
0,1690.88,1550.63,346.00
0,1690.88,1550.63,347.00
0,1690.88,1550.63,348.00
0,1690.88,1550.63,349.00
0,1690.88,1550.63,350.00
0,1690.88,1550.63,351.00
0,1690.88,1550.63,352.00
0,1690.88,1550.63,353.00
0,1690.88,1550.63,354.00
0,1690.88,1550.63,355.00
0,1690.88,1550.63,356.00
0,1690.88,1550.63,357.00
0,1690.88,1550.63,358.00
0,1690.88,1550.63,359.00
0,1690.88,1550.63,360.00
0,1690.88,1550.63,361.00
0,1690.88,1550.63,362.00
0,1690.88,1550.63,363.00
0,1690.88,1550.63,364.00
0,1690.88,1550.63,365.00
0,1690.88,1550.63,366.00
0,1690.88,1550.63,367.00
0,1690.88,1550.63,368.00
0,1690.88,1550.63,369.00
0,1690.88,1550.63,370.00
0,1690.88,1550.63,371.00
0,1690.88,1550.63,372.00
0,1690.88,1550.63,373.00
0,1690.88,1550.63,374.00
0,1690.88,1550.63,375.00
0,1690.88,1550.63,376.00
