enb_id,score,alloc,rsrq,hand_ctn
4,0.370663,0,-26.1905,4
5,1.50996,0,-9.00612,4
6,-1.22372,0,-52.4978,4
7,0.741546,0,-20.7957,4
8,0.0908993,0,-30.8066,4
9,0.528119,0,-24.4625,4
10,-1.25143,0,-52.9551,4
11,0.0321021,0,-31.7768,4
12,-0.747282,0,-44.6366,4
13,0.0897344,0,-32.5837,4
14,0.474712,0,-24.5382,4
15,0.0703324,0,-31.1468,4
16,-0.222983,0,-35.9857,4
17,-0.143146,0,-34.6684,4
18,0.0460064,0,-31.5474,4
19,-0.852974,0,-50.0741,4
20,-0.29322,0,-37.1446,4
21,-0.688003,0,-43.6585,4
22,0.340518,0,-26.9258,4
23,-0.28962,0,-37.0852,4
24,-0.447867,0,-39.6963,4
25,0.500247,0,-24.0524,4
0,0.277592,0,-27.7262,4
